province,schools_primary_public,schools_primary_private,schools_primary_total,teachers_primary_public,teachers_primary_private,teachers_primary_total,pupils_primary_public,pupils_primary_private,pupils_primary_total,special_library_a,special_library_b,special_library_c,special_library_total,school_library_a,school_library_b,school_library_c,school_library_total,academic_library_a,academic_library_b,academic_library_c,academic_library_total,public_library_a,public_library_b,public_library_c,public_library_total,public_library_all,reading_fondness_level,tgm_pre_reading,tgm_reading,tgm_post_reading,completion_elementary,completion_junior_high,completion_senior_high,villages_primary,villages_junior_high,villages_senior_high,villages_vocational,villages_university,eys_male,eys_female,education_25plus_male,education_25plus_female,literacy_male,literacy_female,literacy_total,region,facility_ratio_jhs,facility_ratio_shs,facility_ratio_vocational,facility_ratio_univ,school_density_primary,pupil_teacher_ratio,gap_eys,gap_literacy,gap_edu25plus,library_total_all,library_per_1000pupils,outcome_composite,eys_avg,has_completion_data,has_reading_data,z_facility_ratio_jhs,z_facility_ratio_shs,z_school_density_primary,access_index,z_literacy,z_eys,outcome_index_all,outcome_index_full,outcome_index_used,access_outcome_gap,quadrant,kmeans_cluster
DKI JAKARTA,1305.0,918.0,2223.0,22974.0,15697.0,38671.0,527062.0,211719.0,738781.0,28.0,20.0,6.0,54.0,70.0,75.0,403.0,548.0,27.0,13.0,2.0,42.0,10.0,18.0,43.0,71.0,715.0,57.23,51.41,55.61,61.89,98.66,95.85,88.1,264,254,219,209,128,13.65,13.91,71.89,64.7,99.81,99.61,99.71,Jawa,0.9621212121212122,0.8295454545454546,0.7916666666666666,0.4848484848484848,3.009010789394963,19.104264177290474,0.2599999999999998,-0.2000000000000028,-7.189999999999998,1359.0,1.8395167174033984,93.905,13.78,True,True,2.8306960567581574,4.29726083781782,-2.100179819075998,1.6759256918333263,0.5796700479019635,0.4342071049435722,0.5069385764227679,1.0330707077688956,1.0330707077688956,0.6428549840644306,High Access - High Outcome,2
JAWA BARAT,16936.0,2634.0,19570.0,174913.0,41699.0,216612.0,3902286.0,645996.0,4548282.0,19.0,10.0,7.0,36.0,80.0,105.0,762.0,947.0,43.0,29.0,18.0,90.0,14.0,22.0,20.0,56.0,1129.0,59.19,53.93,57.81,63.24,99.09,91.42,66.47,5946,4356,2255,2051,481,12.9,13.16,44.8,36.54,99.43,98.35,98.9,Jawa,0.7325933400605449,0.3792465523040699,0.34493777329297,0.0808947191389169,4.302723533853002,20.997368566838404,0.2599999999999998,-1.0800000000000125,-8.259999999999998,2202.0,0.4841388462720649,82.685,13.03,True,True,1.316493499730941,0.9360557939270512,-1.4018184696289415,0.2835769413430168,0.4295333592918808,-0.289683067088707,0.0699251461015869,0.067127593921381,0.067127593921381,0.2164493474216358,High Access - High Outcome,2
JAWA TENGAH,17140.0,1366.0,18506.0,148125.0,19434.0,167559.0,2253391.0,324853.0,2578244.0,12.0,6.0,6.0,24.0,464.0,492.0,843.0,1799.0,40.0,16.0,14.0,70.0,33.0,223.0,532.0,788.0,2681.0,57.11,52.18,55.87,60.84,98.42,90.64,58.35,8422,3701,1377,1185,294,12.96,13.15,33.21,28.74,97.1,93.36,95.2,Jawa,0.439444312514842,0.1635003562099264,0.1407029209213963,0.0349085727855616,7.177753540782021,15.387081565299386,0.1899999999999995,-3.739999999999995,-4.470000000000002,4574.0,1.774075688724574,76.775,13.055,True,True,-0.6174198116006774,-0.6743571982040132,0.1501565294121626,-0.3805401601308426,-0.256276205964063,-0.2655533946876307,-0.2609148003258469,-0.4066805772507605,-0.4066805772507605,0.0261404171199178,Low Access - Low Outcome (butuh infrastruktur),3
DI YOGYAKARTA,1414.0,424.0,1838.0,14295.0,5856.0,20151.0,179962.0,83093.0,263055.0,5.0,6.0,3.0,14.0,442.0,119.0,390.0,951.0,26.0,15.0,15.0,56.0,18.0,37.0,74.0,129.0,1150.0,55.44,50.63,54.12,59.25,98.95,97.02,89.69,437,312,151,138,66,15.73,15.86,57.19,52.67,97.84,94.11,95.93,Jawa,0.7139588100686499,0.3455377574370709,0.3157894736842105,0.1510297482837528,6.987131968599723,13.05419085901444,0.129999999999999,-3.730000000000004,-4.519999999999996,2171.0,8.253026933531011,92.81,15.795,True,True,1.1935609220469998,0.6844403208124838,0.0472567636386432,0.641752668832709,-0.1209678322784302,2.379058700470297,1.1290454340959333,1.4973978553659435,1.4973978553659435,-0.8556451865332345,High Access - High Outcome,0
JAWA TIMUR,16790.0,2133.0,18923.0,153548.0,26765.0,180313.0,2079218.0,409530.0,2488748.0,9.0,3.0,9.0,21.0,542.0,348.0,1754.0,2644.0,54.0,24.0,27.0,105.0,21.0,248.0,246.0,515.0,3285.0,58.86,53.62,57.9,62.29,98.78,90.74,68.65,8442,4961,2620,1698,465,13.34,13.66,39.26,31.58,96.96,92.82,94.85,Jawa,0.5876569533285951,0.3103529969201611,0.201137171286425,0.0550817341862117,7.603421479394459,13.802376977810807,0.3200000000000003,-4.140000000000001,-7.68,6055.0,2.4329502223608013,81.75,13.5,True,True,0.3603436194331932,0.4218076696359761,0.379937087189895,0.3873627920863547,-0.3211500837585457,0.1639547740515219,-0.0785976548535119,0.0361026754292379,0.0361026754292379,0.3512601166571168,High Access - Low Outcome (masalah kualitas),0
BANTEN,3852.0,818.0,4670.0,46294.0,13410.0,59704.0,1029801.0,209743.0,1239544.0,2.0,3.0,0.0,5.0,15.0,54.0,248.0,317.0,12.0,5.0,1.0,18.0,2.0,7.0,29.0,38.0,378.0,56.53,51.53,55.36,60.16,97.15,90.86,70.07,1546,1259,712,540,128,13.05,13.29,49.15,41.18,99.49,98.5,99.0,Jawa,0.814359637774903,0.4605433376455368,0.3492884864165588,0.0827943078913324,3.76751450533422,20.76149001741927,0.2399999999999984,-0.9899999999999948,-7.969999999999999,718.0,0.5792452708415352,84.535,13.17,True,True,1.855908325330007,1.542886420388059,-1.6907305955964445,0.5693547167072072,0.4480687529474458,-0.154556901642681,0.1467559256523824,0.2306256437689393,0.2306256437689393,0.3387290729382678,High Access - High Outcome,2
BALI,2250.0,160.0,2410.0,22012.0,2923.0,24935.0,335446.0,46178.0,381624.0,1.0,0.0,4.0,5.0,54.0,104.0,614.0,772.0,3.0,4.0,3.0,10.0,2.0,15.0,62.0,79.0,866.0,,,,,98.43,93.03,76.51,713,313,145,127,43,13.59,13.88,56.2,44.27,98.25,94.58,96.42,Bali-Nusra,0.4389901823281907,0.2033660589060308,0.1781206171107994,0.0603085553997194,6.315116449699181,15.304752356125928,0.2900000000000009,-3.6700000000000017,-11.93,1653.0,4.331488585623545,86.465,13.735,True,False,-0.6204157226579144,-0.3767841854486626,-0.3155051142505239,-0.4375683407857003,-0.0301444033661575,0.3907736946216355,0.1803146456277389,0.4538501499044167,0.4538501499044167,-0.891418490690117,Low Access - High Outcome (efisien),0
NUSA TENGGARA BARAT,3008.0,366.0,3374.0,43403.0,4024.0,47427.0,478528.0,46505.0,525033.0,1.0,1.0,0.0,2.0,6.0,22.0,109.0,137.0,3.0,1.0,7.0,11.0,3.0,7.0,15.0,25.0,175.0,61.19,56.04,60.04,64.85,98.11,92.95,63.66,1172,940,598,291,67,14.12,13.98,41.8,30.96,94.18,88.06,91.07,Bali-Nusra,0.8020477815699659,0.5102389078498294,0.2482935153583617,0.0571672354948805,6.4262627301522,11.070339679929154,-0.1399999999999988,-6.1200000000000045,-10.839999999999996,325.0,0.6190087099287093,77.365,14.05,True,True,1.7746866245409216,1.913833363403601,-0.2555070453316709,1.1443376475376172,-1.0217879639389422,0.6948075668751941,-0.163490198531874,-0.1761214857545789,-0.1761214857545789,1.3204591332921962,High Access - Low Outcome (masalah kualitas),2
NUSA TENGGARA TIMUR,3431.0,1825.0,5256.0,39885.0,17121.0,57006.0,406044.0,235300.0,641344.0,1.0,1.0,2.0,4.0,0.0,2.0,16.0,18.0,3.0,2.0,5.0,10.0,0.0,3.0,21.0,24.0,56.0,62.05,55.84,61.42,65.38,93.41,82.48,43.46,3329,1720,687,346,62,13.33,13.57,35.95,32.87,96.52,95.34,95.92,Bali-Nusra,0.5166716731751276,0.2063682787623911,0.1039351156503454,0.0186242114749173,8.19528989122842,11.250464863347718,0.2400000000000002,-1.1799999999999926,-3.0800000000000054,88.0,0.137211855104281,69.69,13.45,True,True,-0.1079484958322843,-0.3543744561025805,0.6994346144068864,0.0790372208240071,-0.1228213716439877,0.1156954292493692,-0.0035629711973092,-0.6995050311343046,-0.6995050311343046,0.7785422519583117,High Access - Low Outcome (masalah kualitas),3
KALIMANTAN BARAT,4138.0,318.0,4456.0,37167.0,3835.0,41002.0,487662.0,65001.0,552663.0,1.0,0.0,5.0,6.0,17.0,60.0,176.0,253.0,3.0,0.0,3.0,6.0,2.0,74.0,111.0,187.0,452.0,59.85,54.61,59.11,62.95,95.33,81.56,55.58,2080,1160,438,193,60,12.67,13.02,36.45,30.61,97.58,94.57,96.09,Kalimantan,0.5576923076923077,0.210576923076923,0.0927884615384615,0.0288461538461538,8.062779668622651,13.478927857177698,0.3499999999999996,-3.010000000000005,-5.840000000000003,717.0,1.297354807540943,75.83500000000001,12.845,True,True,0.1626659141700683,-0.3229595083255955,0.6279040383412845,0.1558701480619191,-0.0913112024295251,-0.468242642856668,-0.2797769226430966,-0.5056466472698348,-0.5056466472698348,0.6615167953317539,High Access - Low Outcome (masalah kualitas),3
KALIMANTAN TENGAH,2410.0,242.0,2652.0,23654.0,2858.0,26512.0,230892.0,46196.0,277088.0,1.0,0.0,0.0,1.0,16.0,25.0,77.0,118.0,1.0,5.0,3.0,9.0,1.0,16.0,46.0,63.0,191.0,56.24,51.25,55.56,59.18,97.47,88.92,63.93,1546,803,280,124,23,12.89,12.78,38.94,34.47,99.48,98.86,99.18,Kalimantan,0.5194049159120311,0.1811125485122897,0.0802069857697283,0.0148771021992238,9.570966624321516,10.451418225709112,-0.1100000000000012,-0.6200000000000045,-4.469999999999999,319.0,1.151258805866728,81.555,12.835,True,True,-0.0899172079366628,-0.5428929878628025,1.4420410885575885,0.2697436309193743,0.481432461527466,-0.4778945118170982,0.0017689748551838,-0.057527888735513,-0.057527888735513,0.3272715196548874,High Access - Low Outcome (masalah kualitas),3
KALIMANTAN SELATAN,2739.0,193.0,2932.0,27329.0,2547.0,29876.0,312010.0,37078.0,349088.0,2.0,2.0,3.0,7.0,24.0,46.0,227.0,297.0,4.0,1.0,12.0,17.0,10.0,12.0,41.0,63.0,384.0,57.1,51.92,56.02,60.69,95.99,88.19,68.35,1874,785,330,112,58,12.89,13.37,41.2,34.71,98.79,96.85,97.82,Kalimantan,0.4188900747065101,0.1760939167556029,0.0597652081109925,0.0309498399146211,8.399028325236044,11.684562859820591,0.4799999999999986,-1.940000000000012,-6.490000000000002,705.0,2.019548079567329,83.085,13.13,True,True,-0.7530167618433712,-0.5803539949628453,0.8094150164067132,-0.1746519134665011,0.2293511078117653,-0.1931643774844018,0.0180933651636817,0.0912068945951143,0.0912068945951143,-0.2658588080616155,Low Access - High Outcome (efisien),3
KALIMANTAN TIMUR,1668.0,287.0,1955.0,23251.0,4346.0,27597.0,352800.0,72773.0,425573.0,5.0,3.0,1.0,9.0,86.0,139.0,88.0,313.0,4.0,3.0,3.0,10.0,15.0,17.0,18.0,50.0,382.0,57.86,52.7,56.21,62.26,97.88,94.85,73.63,1002,560,251,153,48,13.89,14.23,57.95,49.68,99.38,98.52,98.96,Kalimantan,0.5588822355289421,0.250499001996008,0.1526946107784431,0.0479041916167664,4.593806467985517,15.42098778852774,0.3399999999999998,-0.8599999999999994,-8.270000000000003,714.0,1.6777380143947105,86.29499999999999,14.06,True,True,0.1705159053573409,-0.0249656816528787,-1.2446884795653823,-0.3663794186203068,0.4406545954852183,0.7044594358356242,0.5725570156604213,0.6255230391419153,0.6255230391419153,-0.9919024577622222,Low Access - High Outcome (efisien),0
KALIMANTAN UTARA,437.0,53.0,490.0,5457.0,713.0,6170.0,70049.0,10787.0,80836.0,1.0,1.0,0.0,2.0,2.0,2.0,20.0,24.0,0.0,1.0,0.0,1.0,0.0,1.0,6.0,7.0,34.0,58.89,53.58,57.73,62.65,96.41,88.08,59.5,317,160,64,29,12,13.01,13.74,47.43,44.8,98.67,97.56,98.14,Kalimantan,0.5047318611987381,0.2018927444794952,0.0914826498422713,0.0378548895899053,6.061655697956356,13.101458670988654,0.7300000000000004,-1.1099999999999994,-2.6300000000000026,61.0,0.7546142807659953,78.82,13.375,True,True,-0.1867158091993274,-0.3877815737546502,-0.4523262079417174,-0.342274530298565,0.2886643675095781,0.043306412046142,0.16598538977786,-0.0862140172735441,-0.0862140172735441,-0.2560605130250209,Low Access - Low Outcome (butuh infrastruktur),0
SULAWESI UTARA,1350.0,861.0,2211.0,14623.0,5901.0,20524.0,136974.0,82176.0,219150.0,1.0,0.0,0.0,1.0,5.0,23.0,30.0,58.0,1.0,0.0,0.0,1.0,1.0,4.0,30.0,35.0,95.0,58.75,53.94,57.75,62.05,96.18,92.07,67.57,1565,719,249,181,61,12.81,13.53,49.27,50.6,99.8,99.8,99.8,Sulawesi,0.4594249201277955,0.1591054313099041,0.1156549520766773,0.0389776357827476,10.088980150581794,10.677743129994154,0.7199999999999989,0.0,1.3299999999999983,155.0,0.7072781200091263,83.685,13.17,True,True,-0.485607117713571,-0.7071626162673186,1.7216708802409844,0.1763003820866982,0.5963519021919736,-0.154556901642681,0.2208975002746463,0.2020828531372346,0.2020828531372346,-0.0257824710505363,High Access - High Outcome,3
SULAWESI TENGAH,2675.0,276.0,2951.0,27325.0,2308.0,29633.0,289530.0,29191.0,318721.0,0.0,0.0,3.0,3.0,4.0,13.0,27.0,44.0,2.0,3.0,2.0,7.0,0.0,5.0,42.0,47.0,101.0,59.51,54.1,58.88,62.54,97.56,90.05,55.69,1929,972,346,167,40,13.19,13.85,37.66,35.76,98.87,97.9,98.39,Sulawesi,0.5038880248833593,0.1793675479523069,0.086573354069466,0.0207361327112493,9.258881592364482,10.75561029932845,0.6600000000000001,-0.9699999999999988,-1.8999999999999984,155.0,0.4863187552749897,77.03999999999999,13.52,True,True,-0.1922826237869754,-0.5559183464737419,1.2735739191698086,0.1751243163030304,0.3350028516484931,0.1832585119723822,0.2591306818104377,-0.1429442086574305,-0.1429442086574305,0.3180685249604609,High Access - Low Outcome (masalah kualitas),3
SULAWESI SELATAN,6067.0,401.0,6468.0,65370.0,5918.0,71288.0,800828.0,80037.0,880865.0,5.0,4.0,4.0,13.0,46.0,155.0,179.0,380.0,13.0,7.0,14.0,34.0,3.0,176.0,190.0,369.0,796.0,59.84,54.76,58.81,63.29,98.37,88.74,67.41,2975,1800,844,331,152,13.44,13.91,43.65,40.73,95.98,94.19,95.05,Sulawesi,0.6050420168067226,0.2836974789915966,0.1112605042016806,0.0510924369747899,7.342782378684589,12.356427449220066,0.4700000000000006,-1.7900000000000065,-2.9200000000000017,1223.0,1.3884079853325992,81.22999999999999,13.675,True,True,0.4750334274130416,0.2228405816349837,0.2392410363315077,0.3123716817931777,-0.2840792964474131,0.3328624808590544,0.0243915922058206,0.0660888019737052,0.0660888019737052,0.2462828798194725,High Access - Low Outcome (masalah kualitas),0
SULAWESI TENGGARA,2266.0,91.0,2357.0,28777.0,1089.0,29866.0,284912.0,15110.0,300022.0,1.0,0.0,3.0,4.0,6.0,32.0,37.0,75.0,2.0,4.0,3.0,9.0,6.0,20.0,43.0,69.0,157.0,58.64,53.43,57.8,61.86,97.83,89.55,68.28,1879,916,414,155,45,13.69,14.0,44.67,39.98,98.45,96.04,97.22,Sulawesi,0.4874933475252794,0.2203299627461415,0.0824906865353911,0.0239489089941458,7.8560905533594205,10.045603696511083,0.3100000000000005,-2.4099999999999966,-4.690000000000005,245.0,0.8166067821693076,82.75,13.845,True,True,-0.3004388235302431,-0.2501590507489277,0.5163308239089598,-0.0114223501234036,0.1181387458783702,0.496944253186371,0.3075414995323706,0.2819891433102705,0.2819891433102705,-0.2934114934336742,Low Access - High Outcome (efisien),3
GORONTALO,896.0,36.0,932.0,8415.0,426.0,8841.0,103371.0,5377.0,108748.0,1.0,1.0,0.0,2.0,25.0,44.0,223.0,292.0,5.0,1.0,2.0,8.0,3.0,7.0,92.0,102.0,404.0,59.2,54.18,58.36,62.37,93.69,83.71,46.19,659,362,108,57,15,12.88,13.86,31.37,37.47,98.09,98.99,98.54,Sulawesi,0.5493171471927162,0.1638846737481032,0.08649468892261,0.0227617602427921,8.570272556736676,12.30041850469404,0.9799999999999986,0.8999999999999915,6.099999999999998,706.0,6.49207341744216,72.36500000000001,13.37,True,True,0.1074147181817968,-0.6714885035628633,0.9018546658637524,0.1125936268275619,0.3628059421318432,0.038480477565926,0.2006432098488846,-0.4782237834086791,-0.4782237834086791,0.5908174102362411,High Access - Low Outcome (masalah kualitas),3
SULAWESI BARAT,1297.0,33.0,1330.0,15059.0,389.0,15448.0,138755.0,5314.0,144069.0,0.0,0.0,0.0,0.0,1.0,53.0,240.0,294.0,0.0,2.0,2.0,4.0,2.0,8.0,26.0,36.0,334.0,48.63,44.54,47.95,51.21,95.13,84.04,54.79,632,410,172,112,24,12.79,13.3,36.44,34.23,97.14,94.11,95.62,Sulawesi,0.6487341772151899,0.2721518987341772,0.1772151898734177,0.0379746835443038,9.231687594138918,9.326061626100469,0.5100000000000016,-3.030000000000001,-2.210000000000001,632.0,4.386786886838945,75.205,13.045,True,True,0.7632719773485273,0.136659908302849,1.258894279211851,0.7196087216210758,-0.1784275526106853,-0.2752052636480609,-0.2268164081293731,-0.4949783178207281,-0.4949783178207281,1.214587039441804,High Access - Low Outcome (masalah kualitas),3
MALUKU,1311.0,533.0,1844.0,15402.0,3568.0,18970.0,148432.0,53782.0,202214.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,8.0,1.0,1.0,2.0,4.0,1.0,2.0,18.0,21.0,33.0,57.38,51.94,57.05,59.94,98.69,93.9,75.01,1112,624,276,104,43,13.93,14.46,56.38,54.61,99.6,99.1,99.35,Maluku-Papua,0.5611510791366906,0.2482014388489208,0.0935251798561151,0.0386690647482014,9.119052093326871,10.659673168160252,0.5300000000000011,-0.5,-1.7700000000000031,45.0,0.2225365207156774,87.18,14.195,True,True,0.1854835376605741,-0.0421155809757674,1.1980923116346525,0.447153422773153,0.5129426307419259,0.8347596668014343,0.6738511487716801,0.7360921811057822,0.7360921811057822,-0.2889387583326291,High Access - High Outcome,3
